"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"88",625000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",633000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",641000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",649000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",657000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",665000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",673000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",681000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",689000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",697000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",705000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",713000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",721000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",729000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",737000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",745000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",753000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",761000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",769000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",777000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",785000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",793000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",801000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",809000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",817000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",825000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",833000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",841000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",849000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",857000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",865000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",873000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",881000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",889000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",897000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
