"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"99",713000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"100",721000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"101",729000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"102",737000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"103",745000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"104",753000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"105",761000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"106",769000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"107",777000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"108",785000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"109",793000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"110",801000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"111",809000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"112",817000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"113",825000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"114",833000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"115",841000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"116",849000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"117",857000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"118",865000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"119",873000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"120",881000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"121",889000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"122",897000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"123",905000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"124",913000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"125",921000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"126",929000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"127",937000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"128",945000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"129",953000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"130",961000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"131",969000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"132",977000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"133",985000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"134",993000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"135",1001000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"136",1009000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"137",1017000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"138",1025000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"139",1033000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"140",1041000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"141",1049000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"142",1057000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"143",-63000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"144",-55000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"145",-47000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"146",-39000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"147",-31000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"148",-23000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"149",-15000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"150",-7000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"151",1000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"152",9000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"153",17000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"154",25000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"155",33000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"156",41000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"157",49000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"158",57000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"159",65000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"160",73000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"161",81000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"162",89000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"163",97000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"164",105000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"165",113000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"166",121000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"167",129000,1482000,6.10097847556169,8.9965488634398,11.2623505383098,4.74879420118675,6.06439764677782,6.30427961804575,6.03042944015555,5.39317299432157,3.74293797498026,2.58263655216077,2.09070474486328,2.76963092230504
"168",137000,1482000,1.19546143321973,1.03739372279817,3.31229940628196,2.3441975265173,4.04374598406446,6.20677267836528,5.18440161098455,4.30660678454913,2.77536420365582,1.26802282330902,0.286213309688799,0.453578095500758
"169",145000,1482000,1.30917544510085,1.059983294848,3.3985326664418,2.45931119711317,4.05158661672878,6.21519054366143,5.20088024068067,4.31466736474032,2.77876687454217,1.27078669058698,0.363678209024174,0.459258176007942
"170",153000,1482000,0.968284433766268,0.968617828277011,-0.23043329615158,2.10260093390866,4.05972881218788,6.22430989773227,5.21885692762188,4.32434006096975,2.77998211414443,1.27651184423418,-0.0927205687887313,-0.638062376973672
"171",161000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"172",169000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"173",177000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"174",185000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"175",193000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"176",201000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"177",209000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"178",217000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"179",225000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"180",233000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"181",241000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"182",249000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"183",257000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"184",265000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"185",273000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"186",281000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"187",289000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"188",297000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"189",305000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"190",313000,1482000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
