"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"1289",-4.99999999997724e-06,-2.50000000001638e-06,-2.50000000001638e-06,0,0,0,0,0,0,0,0,-2.50000000001638e-06
"1290",0.21825,0.2118725,0.093115,8.33333333333334e-05,0.00366000000000001,0.00313749999999999,0.0182675,0.0162225,0.02371,0.0237866666666667,0.105475,0.2104525
"1293",-0.218415,-0.2145725,-0.102075,-0.00032666666666667,-0.0038825,-0.0029975,-0.0182025,-0.016395,-0.023915,-0.0236366666666667,-0.0799,-0.1756575
"1435",-0.185915,-0.1908,-0.132975,-0.0440866666666667,-0.04855175,-0.0419175,-0.0372975,-0.0401675,-0.0366925,-0.0445866666666667,-0.07884,-0.1477775
"1440",0.1554075,0.1719475,0.118865,0.0230166666666667,0.0164975,0.0034975,0.00770000000000001,0.0072175,0.00632499999999999,0.02251,0.0807375,0.16062
"1560",2.49999999998862e-06,7.49999999999362e-06,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0
"1561",0,0,0,0,0,0,0,0,0,0,0,0
"1569",-0.21748,-0.2072075,-0.096745,-0.000763333333333329,-0.0036,-0.00346749999999999,-0.018335,-0.01624,-0.0235875,-0.0243066666666667,-0.1038875,-0.227125
"1570",-0.2175925,-0.20814,-0.0980675,-0.000196666666666669,-0.00364,-0.00342250000000001,-0.0183275,-0.0163125,-0.02367,-0.0242833333333333,-0.08695,-0.20132
"1571",0.1604475,0.173025,0.109435,0.0228166666666667,0.016435,0.00325249999999999,0.00756,0.00871249999999999,0.00828250000000001,0.0265966666666667,0.08423,0.1356775
"1573",0,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0,0
"1574",0,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0,-2.5000000000025e-06
"1701",0,0,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0
"1704",-2.49999999998862e-06,0,-5.00000000001888e-06,0,0,0,0,0,0,0,0,-2.50000000001638e-06
"1711",-2.50000000001638e-06,4.99999999997724e-06,0,0,0,0,0,0,0,0,0,0
"1721",0,0,0,0,0,0,0,0,0,0,0,0
"1735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1839",-2.49999999998862e-06,2.49999999998862e-06,0,0,0,0,0,0,0,0,0,2.50000000001638e-06
"1841",2.50000000001638e-06,-2.77555756156289e-17,-2.5000000000025e-06,0,0,0,0,0,0,0,0,-2.49999999998862e-06
"1875",-0.1805075,-0.18971,-0.132065,-0.0494533333333333,-0.0490775,-0.042275,-0.0383525,-0.03905,-0.035805,-0.0437966666666667,-0.0702625,-0.13605
"1990",-2.50000000001638e-06,-5.000000000005e-06,2.50000000001638e-06,0,0,0,0,0,0,0,0,0
"1991",-0.2167075,-0.204115,-0.077285,-0.000480000000000008,-0.003705,-0.003815,-0.0183975,-0.01654,-0.0236525,-0.0236966666666667,-0.0690925,-0.1619825
"1992",-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,0,0
"2127",-2.50000000001638e-06,-2.50000000004413e-06,0,0,0,0,0,0,0,0,0,0
"2732",-0.176745,-0.18774,-0.1315125,-0.05702,-0.048869,-0.0405325,-0.03733,-0.037735,-0.034715,-0.0438966666666667,-0.07419,-0.13072
"2986",-0.15525,-0.1722475,-0.105655,-0.0267733333333333,-0.0168425,-0.00275500000000001,-0.006825,-0.00859999999999999,-0.00840749999999999,-0.0220866666666667,-0.0694975,-0.134685
"2988",-0.18026,-0.1870425,-0.12516,-0.0464733333333333,-0.047406,-0.0364275,-0.0318375,-0.0374,-0.0348125,-0.0436833333333333,-0.0728125,-0.1471
"2989",0.180125,0.187025,0.1159925,0.0432233333333333,0.04746275,0.0365975,0.0321025,0.037385,0.0347675,0.04347,0.075495,0.1454625
"2991",0.179055,0.1870975,0.1250025,0.0430433333333333,0.04756725,0.03692,0.0326175,0.03737,0.0346925,0.0441866666666667,0.07515,0.1439925
"2997",-0.031025,-0.0202025,-0.03537,-0.02016,-0.03106025,-0.034835,-0.0270125,-0.0301275,-0.0278425,-0.0222333333333333,-0.00700749999999999,-0.021075
"3003",-0.17942,-0.18232,-0.1320725,-0.04863,-0.04814925,-0.0385525,-0.03507,-0.0373075,-0.03441,-0.0437333333333333,-0.0733375,-0.13494
"3144",-0.026955,-0.017505,-0.0303925,-0.0211566666666667,-0.03124075,-0.0350125,-0.0276575,-0.03039,-0.028365,-0.02261,-0.002015,0.020645
"3151",0.0235575,0.017845,0.024585,0.007558,0.01928925,0.02934125,0.02925,0.027059,0.02512575,0.018646,-0.00163900000000001,0.00507249999999999
"3153",0.023355,0.0171475,0.0230125,0.00723866666666666,0.019223,0.02917625,0.0289925,0.026994,0.02511575,0.0186013333333333,0.000160999999999998,0.0045975
"3155",-0.38683,-0.4128275,-0.240185,-0.07225,-0.0585035,-0.0415475,-0.0525975,-0.054455,-0.059585,-0.0712,-0.169775,-0.37151
"3164",-0.3852175,-0.419515,-0.2362775,-0.08316,-0.0603525,-0.04165,-0.0524125,-0.053895,-0.0599425,-0.0731666666666667,-0.169465,-0.3704175
"3165",-0.17581,-0.186865,-0.1276775,-0.05659,-0.048852,-0.039725,-0.037035,-0.03701,-0.034205,-0.0439833333333333,-0.06988,-0.1288325
"3169",-0.3848125,-0.4216175,-0.23797,-0.0875833333333333,-0.06113225,-0.0416925,-0.052175,-0.0536475,-0.0602225,-0.0742366666666667,-0.1565075,-0.3714775
"3254",0,0,0,0,0,0,0,0,0,0,0,0
"3298",-0.1749375,-0.1864275,-0.12771,-0.0542,-0.048418,-0.0387425,-0.0359475,-0.036755,-0.033975,-0.04391,-0.0713525,-0.1293075
"3299",-0.175015,-0.18638,-0.130235,-0.0546066666666667,-0.04845675,-0.038815,-0.036055,-0.0367625,-0.033975,-0.04392,-0.071445,-0.13154
"3300",-0.1748675,-0.1863875,-0.12954,-0.0567433333333333,-0.0484975,-0.0388875,-0.03616,-0.03676,-0.03398,-0.0439333333333333,-0.0718275,-0.1292975
