"","Lat","Lon","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"74",49.78779253,-90.01289353,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"75",49.79379482,-89.90228732,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"76",49.79969841,-89.79165584,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"77",49.80550326,-89.68099952,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"78",49.81120935,-89.57031876,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"79",49.81681663,-89.45961397,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"80",49.82232508,-89.34888557,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"81",49.82773465,-89.23813396,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"82",49.83304531,-89.12735956,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"83",49.83825704,-89.01656279,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"84",49.84336981,-88.90574406,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"85",49.84838357,-88.79490379,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"86",49.8532983,-88.68404238,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"87",49.85811397,-88.57316026,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"88",49.86283056,-88.46225784,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"89",49.86744803,-88.35133554,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"90",49.87196635,-88.24039377,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"91",49.8763855,-88.12943296,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"92",49.88070544,-88.01845352,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"93",49.88492617,-87.90745587,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"94",49.88904764,-87.79644043,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"95",49.89306983,-87.68540762,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"96",49.89699272,-87.57435786,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"97",49.90081629,-87.46329156,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"98",49.90454051,-87.35220915,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"99",49.90816535,-87.24111106,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"100",49.9116908,-87.12999769,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"101",49.91511684,-87.01886948,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"102",49.91844344,-86.90772684,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"103",49.92167059,-86.7965702,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"104",49.92479825,-86.68539998,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"105",49.92782643,-86.5742166,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"106",49.93075508,-86.46302048,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"107",49.93358421,-86.35181206,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"108",49.93631379,-86.24059174,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"109",49.9389438,-86.12935997,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"110",49.94147423,-86.01811715,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"111",49.94390506,-85.90686372,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"112",49.94623628,-85.7956001,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"113",49.94846787,-85.68432672,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"114",49.95059982,-85.573044,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"115",49.95263212,-85.46175236,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"116",49.95456475,-85.35045224,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"117",49.95639771,-85.23914405,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"118",49.95813097,-85.12782823,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"119",49.95976454,-85.01650519,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"120",49.96129839,-84.90517538,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"121",49.96273253,-84.7938392,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"122",49.96406694,-84.6824971,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"123",49.96530161,-84.57114949,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"124",49.96643654,-84.45979681,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"125",49.96747172,-84.34843948,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"126",49.96840714,-84.23707792,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"127",49.96924279,-84.12571257,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"128",49.96997868,-84.01434385,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"129",49.9706148,-83.9029722,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"130",49.97115114,-83.79159803,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"131",49.9715877,-83.68022177,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"132",49.97192448,-83.56884386,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"133",49.97216147,-83.45746472,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"134",49.97229868,-83.34608477,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"135",49.9723361,-83.23470445,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"136",49.97227373,-83.12332419,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"137",49.97211158,-83.01194441,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"138",49.97184964,-82.90056553,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"139",49.97148791,-82.78918799,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"140",49.97102641,-82.67781222,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"141",49.97046512,-82.56643864,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"142",49.96980406,-82.45506767,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"143",49.02847301,-97.8645656,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"144",49.04143448,-97.75695021,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"145",49.05430134,-97.64928221,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"146",49.06707351,-97.54156195,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"147",49.07975093,-97.43378977,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"148",49.09233352,-97.32596603,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"149",49.10482121,-97.21809108,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"150",49.11721394,-97.11016527,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"151",49.12951162,-97.00218896,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
