"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"7196",0,2.49999999998862e-06,0,0,0,0,0,0,0,0,0,0
"7197",0,0,0,0,0,0,0,0,0,0,0,2.50000000001638e-06
"7198",0,0,0,0,0,0,0,0,0,0,0,0
"7199",0,0,0,0,0,0,0,0,0,0,0,0
"7200",0,0,0,0,0,0,0,0,0,0,0,0
"7201",2.49999999998862e-06,-2.50000000001638e-06,0,0,0,0,0,0,0,0,0,0
"7202",0,-4.99999999997724e-06,-2.49999999998862e-06,0,0,0,0,0,0,0,0,2.5000000000025e-06
"7203",2.77555756156289e-17,-2.50000000001638e-06,0,0,0,0,0,0,0,0,0,-2.5000000000025e-06
"7205",0,0,0,0,0,0,0,0,0,0,0,2.49999999998862e-06
"7206",-2.50000000001638e-06,-2.50000000001638e-06,0,0,0,0,0,0,0,0,0,-2.5000000000025e-06
"7207",-0.2034225,-0.174795,-0.090575,-0.00695333333333334,-0.004895,-0.00658,-0.0189625,-0.0217675,-0.0242925,-0.0247066666666667,-0.083355,-0.183435
"7215",0.34068,0.3432375,0.1788875,0.0407366666666667,0.02247,0.007545,0.0236175,0.031795,0.0334875,0.05294,0.1470325,0.2802225
"7258",0.0262375,0.01235,0.0185625,0.01892,0.02812,0.0241,0.02071,0.0221975,0.0226875,0.0236966666666667,0.002885,0.0090075
"7304",0.03252,0.0264275,0.04945,0.0221466666666667,0.03183875,0.027915,0.027085,0.0261175,0.02473,0.02614,0.00995,0.013285
"7306",-0.1661525,-0.1645375,-0.1408775,-0.0441833333333333,-0.04680875,-0.0298225,-0.03176,-0.0327675,-0.0289825,-0.04464,-0.066475,-0.0945
"7312",0.1777525,0.1942475,0.12942,0.0521033333333333,0.04721025,0.03104,0.033305,0.033965,0.029315,0.0446966666666667,0.0724575,0.1220425
"7313",0,0,0,0,0,0,0,0,0,0,0,0
"7315",-0.18064,-0.1873475,-0.13174,-0.0483533333333333,-0.0474095,-0.0317025,-0.0341175,-0.034575,-0.0295175,-0.044728,-0.073065,-0.1392275
"7316",0,0,0,0,0,0,0,0,0,0,0,0
"7317",-0.1432925,-0.16528,-0.0977875,-0.02627,-0.01441,-0.00130500000000001,-0.00408749999999999,-0.00649250000000001,-0.00357999999999999,-0.01869,-0.06694,-0.12539
"7336",-2.49999999998862e-06,-7.49999999999362e-06,0,0,0,0,0,0,0,0,0,0
"7337",2.50000000001638e-06,-5.000000000005e-06,0,0,0,0,0,0,0,0,0,0
